Date,Day,Stage,Rain,Ks,Eta,Depl,Net Irr,Deficit,Loss,Gr. Irr,Flow
,,,mm,fract.,mm/day,%,mm,mm,mm,mm,l/s/ha
 
1 May,1,Init,0.0,1.00,1.9,4,0.0,1.9,0.0,0.0,0.00
2 May,2,Init,0.0,1.00,1.5,7,0.0,3.4,0.0,0.0,0.00
3 May,3,Init,0.0,1.00,1.9,11,0.0,5.3,0.0,0.0,0.00
4 May,4,Init,0.0,1.00,2.0,15,0.0,7.4,0.0,0.0,0.00
5 May,5,Init,0.0,1.00,1.8,18,0.0,9.1,0.0,0.0,0.00
6 May,6,Init,0.0,1.00,2.0,21,0.0,11.1,0.0,0.0,0.00
7 May,7,Init,0.0,1.00,1.6,23,0.0,12.8,0.0,0.0,0.00
8 May,8,Init,0.0,1.00,2.5,27,0.0,15.3,0.0,0.0,0.00
9 May,9,Init,0.0,1.00,2.6,30,0.0,17.9,0.0,0.0,0.00
10 May,10,Init,0.0,1.00,2.3,33,0.0,20.2,0.0,0.0,0.00
11 May,11,Init,0.0,1.00,2.5,36,0.0,22.7,0.0,0.0,0.00
12 May,12,Init,0.0,1.00,1.8,37,0.0,24.5,0.0,0.0,0.00
13 May,13,Init,0.0,1.00,1.8,39,0.0,26.3,0.0,0.0,0.00
14 May,14,Init,0.0,1.00,1.5,40,0.0,27.8,0.0,0.0,0.00
15 May,15,Init,0.0,1.00,1.6,41,0.0,29.5,0.0,0.0,0.00
16 May,16,Init,0.0,1.00,1.9,43,0.0,31.3,0.0,0.0,0.00
17 May,17,Init,0.0,1.00,2.1,44,0.0,33.4,0.0,0.0,0.00
18 May,18,Init,0.0,1.00,2.0,46,0.0,35.4,0.0,0.0,0.00
19 May,19,Init,0.0,1.00,2.1,47,0.0,37.5,0.0,0.0,0.00
20 May,20,Init,0.0,1.00,2.2,49,0.0,39.8,0.0,0.0,0.00
21 May,21,Dev,0.0,1.00,2.6,51,0.0,42.4,0.0,0.0,0.00
22 May,22,Dev,4.0,1.00,3.4,49,0.0,41.8,0.0,0.0,0.00
23 May,23,Dev,0.0,1.00,2.5,51,0.0,44.3,0.0,0.0,0.00
24 May,24,Dev,0.0,1.00,3.3,53,0.0,47.6,0.0,0.0,0.00
25 May,25,Dev,0.0,1.00,3.4,56,0.0,51.0,0.0,0.0,0.00
26 May,26,Dev,0.0,1.00,3.6,59,0.0,54.6,0.0,0.0,0.00
27 May,27,Dev,0.0,0.94,3.3,61,0.0,57.9,0.0,0.0,0.00
28 May,28,Dev,2.6,0.95,2.8,60,0.0,58.1,0.0,0.0,0.00
29 May,29,Dev,0.0,0.92,2.8,62,0.0,60.9,0.0,0.0,0.00
30 May,30,Dev,0.0,0.88,3.2,64,0.0,64.0,0.0,0.0,0.00
31 May,31,Dev,0.0,0.84,3.8,66,0.0,67.9,0.0,0.0,0.00
1 Jun,32,Dev,0.0,0.78,3.5,68,0.0,71.4,0.0,0.0,0.00
2 Jun,33,Dev,19.2,1.00,5.5,54,0.0,57.7,0.0,0.0,0.00
3 Jun,34,Dev,0.0,1.00,5.0,58,0.0,62.7,0.0,0.0,0.00
4 Jun,35,Dev,0.0,0.96,4.8,61,0.0,67.6,0.0,0.0,0.00
5 Jun,36,Dev,0.0,0.89,5.9,65,0.0,73.4,0.0,0.0,0.00
6 Jun,37,Dev,0.0,0.80,4.8,68,0.0,78.2,0.0,0.0,0.00
7 Jun,38,Dev,0.0,0.73,4.8,71,0.0,83.0,0.0,0.0,0.00
8 Jun,39,Dev,0.0,0.66,5.4,75,0.0,88.4,0.0,0.0,0.00
9 Jun,40,Dev,0.0,0.59,4.3,77,0.0,92.7,0.0,0.0,0.00
10 Jun,41,Dev,0.0,0.54,3.9,79,0.0,96.6,0.0,0.0,0.00
11 Jun,42,Dev,0.0,0.49,3.7,81,0.0,100.3,0.0,0.0,0.00
12 Jun,43,Dev,0.0,0.46,3.1,82,0.0,103.4,0.0,0.0,0.00
13 Jun,44,Dev,3.7,0.49,2.5,80,0.0,102.2,0.0,0.0,0.00
14 Jun,45,Dev,0.0,0.48,2.1,80,0.0,104.3,0.0,0.0,0.00
15 Jun,46,Dev,0.0,0.47,3.5,82,0.0,107.8,0.0,0.0,0.00
16 Jun,47,Dev,0.0,0.44,3.8,83,0.0,111.6,0.0,0.0,0.00
17 Jun,48,Dev,29.3,0.88,4.9,64,0.0,87.3,0.0,0.0,0.00
18 Jun,49,Dev,0.0,0.82,5.5,67,0.0,92.8,0.0,0.0,0.00
19 Jun,50,Dev,0.0,0.75,5.2,70,0.0,98.0,0.0,0.0,0.00
20 Jun,51,Mid,9.6,0.82,4.0,66,0.0,92.4,0.0,0.0,0.00
21 Jun,52,Mid,0.0,0.76,5.6,70,0.0,97.9,0.0,0.0,0.00
22 Jun,53,Mid,1.4,0.69,5.7,73,0.0,102.2,0.0,0.0,0.00
23 Jun,54,Mid,0.0,0.60,2.6,75,0.0,104.9,0.0,0.0,0.00
24 Jun,55,Mid,0.0,0.56,3.3,77,0.0,108.2,0.0,0.0,0.00
25 Jun,56,Mid,0.0,0.51,4.2,80,0.0,112.3,0.0,0.0,0.00
26 Jun,57,Mid,0.0,0.44,3.6,83,0.0,116.0,0.0,0.0,0.00
27 Jun,58,Mid,0.0,0.38,3.3,85,0.0,119.3,0.0,0.0,0.00
28 Jun,59,Mid,0.0,0.33,2.8,87,0.0,122.0,0.0,0.0,0.00
29 Jun,60,Mid,0.5,0.29,1.5,88,0.0,123.0,0.0,0.0,0.00
30 Jun,61,Mid,0.0,0.27,1.3,89,0.0,124.3,0.0,0.0,0.00
1 Jul,62,Mid,0.0,0.25,1.2,90,0.0,125.5,0.0,0.0,0.00
2 Jul,63,Mid,0.0,0.23,2.2,91,0.0,127.7,0.0,0.0,0.00
3 Jul,64,Mid,0.0,0.19,1.8,92,0.0,129.5,0.0,0.0,0.00
4 Jul,65,Mid,0.0,0.17,1.2,93,0.0,130.7,0.0,0.0,0.00
5 Jul,66,Mid,13.9,0.37,2.8,85,0.0,119.6,0.0,0.0,0.00
6 Jul,67,Mid,0.0,0.32,2.3,87,0.0,121.8,0.0,0.0,0.00
7 Jul,68,Mid,0.0,0.29,2.2,89,0.0,124.0,0.0,0.0,0.00
8 Jul,69,Mid,0.0,0.25,1.7,90,0.0,125.7,0.0,0.0,0.00
9 Jul,70,Mid,21.3,0.57,2.8,77,0.0,107.2,0.0,0.0,0.00
10 Jul,71,Mid,0.0,0.52,4.5,80,0.0,111.7,0.0,0.0,0.00
11 Jul,72,Mid,0.0,0.45,4.0,83,0.0,115.7,0.0,0.0,0.00
12 Jul,73,Mid,0.0,0.39,3.5,85,0.0,119.1,0.0,0.0,0.00
13 Jul,74,Mid,0.0,0.33,3.2,87,0.0,122.3,0.0,0.0,0.00
14 Jul,75,Mid,1.9,0.31,1.7,87,0.0,122.2,0.0,0.0,0.00
15 Jul,76,Mid,0.0,0.28,1.9,89,0.0,124.1,0.0,0.0,0.00
16 Jul,77,Mid,0.0,0.25,2.0,90,0.0,126.1,0.0,0.0,0.00
